Prompt1,Prompt2,statistic,pvalue,corrected_pvalue,reject_H0,corrected_alpha_sidak,corrected_alpha_bonferroni
0-Shot | Notes,0-Shot | Summary,330968.5,3.3180353154003224e-276,7.821083243443617e-276,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot | Summary,0.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot | Summary,224031.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot | Summary,8497.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot | Summary,1265552.5,3.65910516784877e-14,4.236858615403839e-14,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Notes,146286.5,1.1511218912106611e-20,1.4610393234596852e-20,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,0-Shot CoT | Summary,54460.0,1.696960123992674e-94,2.488874848522589e-94,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,5-Shot CoT | Summary,1909.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,10-Shot CoT | Summary,401856.0,1.4336956283621146e-242,2.9569972334968613e-242,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,20-Shot CoT | Summary,29369.0,4.902267975568194e-123,7.524411311337228e-123,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Notes,50-Shot CoT | Summary,1434952.5,0.0003468344164084258,0.0003633503409993032,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot | Summary,804.5,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot | Summary,336366.5,8.04165437334928e-273,1.830169616003629e-272,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot | Summary,9158.0,3.030346722930595e-151,4.8781191149614456e-151,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,50-Shot | Summary,155970.0,1.2999078875691993e-253,2.8597973526522385e-253,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Notes,1226713.5,4.141038716157662e-19,5.156765193705769e-19,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,0-Shot CoT | Summary,1399071.0,0.0001626690136955541,0.00017600253940830445,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,5-Shot CoT | Summary,29337.0,0.0,0.0,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,10-Shot CoT | Summary,40047.0,3.207756941463898e-111,4.811635412195847e-111,True,0.0007768692078230499,0.0007575757575757576
0-Shot | Summary,20-Shot CoT | Summary,1244618.0,0.7520537661927851,0.7520537661927851,False,0.0007768692078230499,0.0007575757575757576
