,Baseline,Baseline,Baseline,Baseline,0-Shot | Notes,0-Shot | Notes,0-Shot | Notes,0-Shot | Notes,0-Shot | Summary,0-Shot | Summary,0-Shot | Summary,0-Shot | Summary,5-Shot | Summary,5-Shot | Summary,5-Shot | Summary,5-Shot | Summary,10-Shot | Summary,10-Shot | Summary,10-Shot | Summary,10-Shot | Summary,20-Shot | Summary,20-Shot | Summary,20-Shot | Summary,20-Shot | Summary,50-Shot | Summary,50-Shot | Summary,50-Shot | Summary,50-Shot | Summary,0-Shot CoT | Notes,0-Shot CoT | Notes,0-Shot CoT | Notes,0-Shot CoT | Notes,0-Shot CoT | Summary,0-Shot CoT | Summary,0-Shot CoT | Summary,0-Shot CoT | Summary,5-Shot CoT | Summary,5-Shot CoT | Summary,5-Shot CoT | Summary,5-Shot CoT | Summary,10-Shot CoT | Summary,10-Shot CoT | Summary,10-Shot CoT | Summary,10-Shot CoT | Summary,20-Shot CoT | Summary,20-Shot CoT | Summary,20-Shot CoT | Summary,20-Shot CoT | Summary,50-Shot CoT | Summary,50-Shot CoT | Summary,50-Shot CoT | Summary,50-Shot CoT | Summary
,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short
Aggregate/MAE/MAE,"1.15 (0.99, 1.33)",--,--,--,"1.68 (1.51, 1.86)","2.12 (1.80, 2.46)","1.82 (1.47, 2.27)","1.12 (0.96, 1.30)","1.67 (1.51, 1.84)","2.07 (1.78, 2.38)","1.77 (1.42, 2.20)","1.17 (1.01, 1.34)","2.28 (2.12, 2.45)","2.60 (2.31, 2.90)","2.39 (2.05, 2.80)","1.87 (1.67, 2.10)","2.19 (2.00, 2.38)","2.59 (2.26, 2.94)","2.24 (1.89, 2.67)","1.75 (1.53, 1.99)","1.80 (1.62, 1.99)","2.20 (1.90, 2.53)","1.91 (1.55, 2.33)","1.31 (1.10, 1.54)","1.11 (0.94, 1.29)","1.51 (1.20, 1.86)","1.19 (0.85, 1.61)","0.62 (0.51, 0.74)","1.17 (1.02, 1.34)","1.57 (1.30, 1.87)","1.27 (0.95, 1.68)","0.69 (0.58, 0.81)","1.22 (1.07, 1.39)","1.68 (1.41, 1.98)","1.26 (0.94, 1.66)","0.73 (0.61, 0.85)","2.18 (1.98, 2.38)","2.90 (2.56, 3.26)","2.18 (1.80, 2.61)","1.48 (1.25, 1.71)","2.07 (1.88, 2.27)","2.84 (2.49, 3.20)","1.99 (1.62, 2.41)","1.40 (1.17, 1.64)","1.85 (1.67, 2.05)","2.50 (2.18, 2.85)","1.90 (1.53, 2.33)","1.17 (0.96, 1.38)","1.12 (0.97, 1.29)","1.53 (1.28, 1.84)","1.21 (0.88, 1.62)","0.64 (0.50, 0.79)"
Aggregate/MAE/MaxError,"41.45 (27.90, 44.90)",--,--,--,"38.12 (21.00, 41.00)","21.40 (20.00, 22.00)","36.89 (11.00, 41.00)","9.96 (5.00, 13.00)","37.06 (21.00, 40.00)","21.59 (15.00, 23.00)","35.79 (11.00, 40.00)","9.71 (5.00, 12.00)","35.33 (17.00, 39.00)","18.62 (13.00, 20.00)","34.31 (11.00, 39.00)","12.40 (9.00, 13.00)","36.07 (20.00, 39.00)","22.15 (18.00, 24.00)","34.83 (13.00, 39.00)","12.26 (9.00, 13.00)","35.95 (19.00, 40.00)","18.36 (15.00, 19.00)","35.60 (13.00, 40.00)","14.03 (11.00, 15.00)","38.43 (20.00, 42.00)","22.30 (18.00, 24.00)","37.44 (11.00, 42.00)","7.95 (5.00, 9.00)","37.33 (19.00, 41.00)","23.08 (15.00, 27.00)","36.13 (11.00, 41.00)","7.74 (5.00, 9.00)","37.14 (19.00, 41.00)","22.15 (15.00, 25.00)","36.05 (12.00, 41.00)","7.43 (5.00, 8.00)","35.37 (18.00, 39.00)","18.03 (14.00, 20.00)","34.77 (14.00, 39.00)","15.70 (9.00, 18.00)","35.73 (17.00, 40.00)","21.56 (13.00, 25.00)","34.36 (13.00, 40.00)","12.27 (9.00, 13.00)","35.99 (18.00, 41.00)","20.31 (13.00, 23.00)","35.24 (13.00, 41.00)","12.29 (9.00, 13.00)","37.80 (20.00, 42.00)","22.13 (12.00, 25.00)","36.80 (13.00, 42.00)","11.26 (6.00, 13.00)"
