Metric,boot_values,ci_percent,mean_value,lower_ci,upper_ci,lower_ci_percentile,upper_ci_percentile
Aggregate/MCC/MCC,"[-0.01174396  0.00755787 -0.02850238 ...  0.00265521  0.00446695
  0.00639707]",0.95,0.0010543080827118893,-0.028074678914254532,0.030097315708376548,0.025000000000000022,0.975
Aggregate/Accuracy/Accuracy,[0.16  0.174 0.147 ... 0.166 0.172 0.173],0.95,0.16942959999999999,0.146,0.194,0.025000000000000022,0.975
Aggregate/F1/Micro,[0.16  0.174 0.147 ... 0.166 0.172 0.173],0.95,0.16942959999999999,0.146,0.194,0.025000000000000022,0.975
Classwise/F1/1,[0.1443299  0.19164619 0.20430108 0.15696203 0.16606498 0.01242236],0.95,0.1459544218894311,0.028910802330793385,0.202719214815989,0.025000000000000022,0.975
Classwise/F1/2,[0.16873449 0.24038462 0.16986301 0.16358839 0.19475655 0.02352941],0.95,0.16014274616192054,0.04103678410678257,0.23468110774992798,0.025000000000000022,0.975
Classwise/F1/3,[0.09819121 0.17156863 0.20212766 0.17994859 0.113879   0.05031447],0.95,0.13600492609691808,0.056299059041489935,0.19935527539244105,0.025000000000000022,0.975
Classwise/F1/4,[0.18045113 0.18090452 0.17948718 0.1758794  0.14229249 0.01234568],0.95,0.14522673267260686,0.028589030400624618,0.1808478482638758,0.025000000000000022,0.975
Classwise/F1/5,[0.17302799 0.1937046  0.1627907  0.2244389  0.11267606 0.01212121],0.95,0.14645990986382426,0.02469056764831414,0.22059711496078205,0.025000000000000022,0.975
Classwise/F1/6,[0.22506394 0.20192308 0.19302949 0.16623377 0.1459854  0.07453416],0.95,0.1677949725571547,0.0834655664868296,0.22217133090694471,0.025000000000000022,0.975
