,Baseline,Baseline,Baseline,Baseline,0-Shot | Notes,0-Shot | Notes,0-Shot | Notes,0-Shot | Notes,0-Shot | Summary,0-Shot | Summary,0-Shot | Summary,0-Shot | Summary,5-Shot | Summary,5-Shot | Summary,5-Shot | Summary,5-Shot | Summary,10-Shot | Summary,10-Shot | Summary,10-Shot | Summary,10-Shot | Summary,20-Shot | Summary,20-Shot | Summary,20-Shot | Summary,20-Shot | Summary,50-Shot | Summary,50-Shot | Summary,50-Shot | Summary,50-Shot | Summary,0-Shot CoT | Notes,0-Shot CoT | Notes,0-Shot CoT | Notes,0-Shot CoT | Notes,0-Shot CoT | Summary,0-Shot CoT | Summary,0-Shot CoT | Summary,0-Shot CoT | Summary,5-Shot CoT | Summary,5-Shot CoT | Summary,5-Shot CoT | Summary,5-Shot CoT | Summary,10-Shot CoT | Summary,10-Shot CoT | Summary,10-Shot CoT | Summary,10-Shot CoT | Summary,20-Shot CoT | Summary,20-Shot CoT | Summary,20-Shot CoT | Summary,20-Shot CoT | Summary,50-Shot CoT | Summary,50-Shot CoT | Summary,50-Shot CoT | Summary,50-Shot CoT | Summary
,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short
Aggregate/MCC/MCC,"-0.02 (-0.11, 0.06)",--,--,--,"0.56 (0.51, 0.61)","0.58 (0.50, 0.66)","0.61 (0.52, 0.70)","0.47 (0.38, 0.56)","0.58 (0.53, 0.63)","0.64 (0.56, 0.72)","0.59 (0.50, 0.68)","0.46 (0.37, 0.55)","0.70 (0.65, 0.75)","0.72 (0.63, 0.81)","0.79 (0.71, 0.87)","0.59 (0.48, 0.68)","0.73 (0.68, 0.78)","0.79 (0.71, 0.87)","0.78 (0.69, 0.86)","0.60 (0.50, 0.70)","0.73 (0.67, 0.78)","0.78 (0.68, 0.86)","0.77 (0.68, 0.86)","0.62 (0.52, 0.73)","0.70 (0.65, 0.75)","0.71 (0.62, 0.80)","0.76 (0.67, 0.84)","0.62 (0.51, 0.72)","0.44 (0.39, 0.49)","0.44 (0.37, 0.51)","0.44 (0.35, 0.54)","0.43 (0.33, 0.52)","0.49 (0.43, 0.54)","0.50 (0.41, 0.59)","0.54 (0.44, 0.64)","0.38 (0.28, 0.48)","0.69 (0.63, 0.74)","0.72 (0.63, 0.81)","0.76 (0.68, 0.84)","0.55 (0.44, 0.66)","0.70 (0.65, 0.75)","0.77 (0.69, 0.85)","0.76 (0.68, 0.84)","0.53 (0.42, 0.64)","0.69 (0.64, 0.74)","0.77 (0.69, 0.85)","0.78 (0.70, 0.86)","0.48 (0.37, 0.59)","0.69 (0.64, 0.74)","0.76 (0.66, 0.84)","0.75 (0.66, 0.83)","0.54 (0.44, 0.64)"
Aggregate/Accuracy/Accuracy,"0.49 (0.45, 0.53)",--,--,--,"0.74 (0.70, 0.78)","0.73 (0.67, 0.80)","0.79 (0.73, 0.84)","0.70 (0.64, 0.77)","0.75 (0.72, 0.79)","0.78 (0.72, 0.84)","0.78 (0.72, 0.83)","0.70 (0.63, 0.76)","0.84 (0.81, 0.87)","0.85 (0.80, 0.90)","0.89 (0.84, 0.93)","0.78 (0.72, 0.84)","0.86 (0.83, 0.89)","0.89 (0.84, 0.93)","0.89 (0.85, 0.93)","0.79 (0.73, 0.85)","0.86 (0.83, 0.89)","0.89 (0.84, 0.93)","0.89 (0.84, 0.93)","0.81 (0.75, 0.86)","0.84 (0.81, 0.87)","0.84 (0.79, 0.90)","0.88 (0.83, 0.92)","0.81 (0.75, 0.86)","0.67 (0.63, 0.70)","0.62 (0.55, 0.69)","0.70 (0.64, 0.76)","0.68 (0.61, 0.74)","0.70 (0.66, 0.74)","0.69 (0.62, 0.76)","0.76 (0.69, 0.81)","0.66 (0.59, 0.72)","0.83 (0.80, 0.86)","0.85 (0.80, 0.90)","0.88 (0.83, 0.92)","0.77 (0.70, 0.82)","0.83 (0.80, 0.86)","0.88 (0.83, 0.93)","0.88 (0.83, 0.92)","0.75 (0.69, 0.81)","0.83 (0.80, 0.86)","0.88 (0.83, 0.93)","0.89 (0.84, 0.93)","0.73 (0.67, 0.79)","0.83 (0.80, 0.86)","0.87 (0.82, 0.92)","0.87 (0.82, 0.92)","0.76 (0.69, 0.82)"
Aggregate/F1/Micro,"0.49 (0.45, 0.53)",--,--,--,"0.74 (0.70, 0.78)","0.73 (0.67, 0.80)","0.79 (0.73, 0.84)","0.70 (0.64, 0.77)","0.75 (0.72, 0.79)","0.78 (0.72, 0.84)","0.78 (0.72, 0.83)","0.70 (0.63, 0.76)","0.84 (0.81, 0.87)","0.85 (0.80, 0.90)","0.89 (0.84, 0.93)","0.78 (0.72, 0.84)","0.86 (0.83, 0.89)","0.89 (0.84, 0.93)","0.89 (0.85, 0.93)","0.79 (0.73, 0.85)","0.86 (0.83, 0.89)","0.89 (0.84, 0.93)","0.89 (0.84, 0.93)","0.81 (0.75, 0.86)","0.84 (0.81, 0.87)","0.84 (0.79, 0.90)","0.88 (0.83, 0.92)","0.81 (0.75, 0.86)","0.67 (0.63, 0.70)","0.62 (0.55, 0.69)","0.70 (0.64, 0.76)","0.68 (0.61, 0.74)","0.70 (0.66, 0.74)","0.69 (0.62, 0.76)","0.76 (0.69, 0.81)","0.66 (0.59, 0.72)","0.83 (0.80, 0.86)","0.85 (0.80, 0.90)","0.88 (0.83, 0.92)","0.77 (0.70, 0.82)","0.83 (0.80, 0.86)","0.88 (0.83, 0.93)","0.88 (0.83, 0.92)","0.75 (0.69, 0.81)","0.83 (0.80, 0.86)","0.88 (0.83, 0.93)","0.89 (0.84, 0.93)","0.73 (0.67, 0.79)","0.83 (0.80, 0.86)","0.87 (0.82, 0.92)","0.87 (0.82, 0.92)","0.76 (0.69, 0.82)"
Classwise/F1/False,"0.43 (0.40, 0.47)",--,--,--,"0.71 (0.65, 0.77)","0.77 (0.76, 0.77)","0.78 (0.70, 0.86)","0.67 (0.57, 0.78)","0.72 (0.66, 0.77)","0.83 (0.82, 0.84)","0.75 (0.66, 0.85)","0.66 (0.55, 0.77)","0.84 (0.83, 0.85)","0.85 (0.84, 0.87)","0.88 (0.85, 0.91)","0.81 (0.78, 0.85)","0.86 (0.85, 0.87)","0.89 (0.88, 0.91)","0.87 (0.84, 0.90)","0.83 (0.79, 0.86)","0.85 (0.84, 0.85)","0.89 (0.87, 0.91)","0.86 (0.83, 0.89)","0.80 (0.77, 0.83)","0.83 (0.83, 0.84)","0.86 (0.85, 0.88)","0.84 (0.80, 0.88)","0.81 (0.78, 0.83)","0.64 (0.55, 0.73)","0.63 (0.58, 0.68)","0.66 (0.51, 0.81)","0.64 (0.51, 0.76)","0.67 (0.60, 0.75)","0.70 (0.69, 0.71)","0.74 (0.64, 0.83)","0.61 (0.47, 0.75)","0.84 (0.83, 0.85)","0.85 (0.83, 0.87)","0.87 (0.84, 0.91)","0.75 (0.70, 0.81)","0.83 (0.81, 0.84)","0.91 (0.90, 0.93)","0.86 (0.81, 0.90)","0.73 (0.67, 0.80)","0.82 (0.80, 0.84)","0.89 (0.87, 0.90)","0.90 (0.87, 0.93)","0.72 (0.66, 0.79)","0.82 (0.81, 0.84)","0.91 (0.89, 0.92)","0.86 (0.82, 0.90)","0.77 (0.72, 0.83)"
Classwise/F1/True,"0.51 (0.49, 0.53)",--,--,--,"0.71 (0.65, 0.78)","0.69 (0.69, 0.69)","0.74 (0.66, 0.81)","0.61 (0.46, 0.76)","0.74 (0.69, 0.79)","0.72 (0.71, 0.73)","0.69 (0.59, 0.79)","0.61 (0.45, 0.76)","0.84 (0.83, 0.86)","0.82 (0.80, 0.85)","0.87 (0.84, 0.89)","0.72 (0.64, 0.79)","0.85 (0.83, 0.86)","0.86 (0.83, 0.89)","0.88 (0.86, 0.89)","0.73 (0.66, 0.80)","0.85 (0.84, 0.86)","0.86 (0.83, 0.89)","0.88 (0.86, 0.89)","0.75 (0.70, 0.80)","0.83 (0.82, 0.84)","0.81 (0.79, 0.84)","0.87 (0.85, 0.89)","0.72 (0.66, 0.78)","0.64 (0.53, 0.74)","0.57 (0.52, 0.61)","0.55 (0.37, 0.74)","0.57 (0.39, 0.75)","0.68 (0.61, 0.76)","0.66 (0.66, 0.67)","0.65 (0.53, 0.76)","0.59 (0.43, 0.75)","0.83 (0.81, 0.85)","0.83 (0.80, 0.86)","0.85 (0.82, 0.88)","0.70 (0.61, 0.78)","0.83 (0.81, 0.85)","0.86 (0.84, 0.89)","0.82 (0.79, 0.86)","0.70 (0.61, 0.80)","0.83 (0.81, 0.85)","0.83 (0.80, 0.86)","0.88 (0.85, 0.90)","0.68 (0.59, 0.78)","0.81 (0.79, 0.83)","0.82 (0.79, 0.85)","0.86 (0.84, 0.88)","0.72 (0.64, 0.80)"
