,Baseline,0-Shot | Notes,0-Shot | Summary,5-Shot | Summary,10-Shot | Summary,20-Shot | Summary,50-Shot | Summary,0-Shot CoT | Notes,0-Shot CoT | Summary,5-Shot CoT | Summary,10-Shot CoT | Summary,20-Shot CoT | Summary,50-Shot CoT | Summary
Aggregate/MCC/MCC,"0.05 (-0.01, 0.11)","0.60 (0.55, 0.65)","0.54 (0.49, 0.59)","0.57 (0.51, 0.62)","0.58 (0.53, 0.63)","0.57 (0.52, 0.62)","0.60 (0.55, 0.65)","0.57 (0.52, 0.62)","0.56 (0.51, 0.61)","0.62 (0.57, 0.67)","0.61 (0.57, 0.67)","0.60 (0.56, 0.65)","0.59 (0.53, 0.63)"
Aggregate/Accuracy/Accuracy,"0.52 (0.49, 0.56)","0.80 (0.77, 0.82)","0.77 (0.74, 0.80)","0.78 (0.76, 0.81)","0.79 (0.77, 0.82)","0.79 (0.76, 0.81)","0.80 (0.77, 0.82)","0.78 (0.76, 0.81)","0.78 (0.76, 0.81)","0.81 (0.78, 0.83)","0.81 (0.78, 0.83)","0.80 (0.78, 0.83)","0.79 (0.77, 0.81)"
Aggregate/F1/Micro,"0.52 (0.49, 0.56)","0.80 (0.77, 0.82)","0.77 (0.74, 0.80)","0.78 (0.76, 0.81)","0.79 (0.77, 0.82)","0.79 (0.76, 0.81)","0.80 (0.77, 0.82)","0.78 (0.76, 0.81)","0.78 (0.76, 0.81)","0.81 (0.78, 0.83)","0.81 (0.78, 0.83)","0.80 (0.78, 0.83)","0.79 (0.77, 0.81)"
Classwise/F1/False,"0.52 (0.52, 0.52)","0.81 (0.81, 0.81)","0.78 (0.77, 0.79)","0.78 (0.78, 0.79)","0.78 (0.78, 0.79)","0.78 (0.78, 0.79)","0.79 (0.78, 0.79)","0.78 (0.77, 0.79)","0.79 (0.79, 0.79)","0.82 (0.82, 0.82)","0.82 (0.82, 0.83)","0.80 (0.79, 0.81)","0.80 (0.79, 0.81)"
Classwise/F1/True,"0.55 (0.54, 0.56)","0.79 (0.79, 0.79)","0.77 (0.75, 0.78)","0.77 (0.76, 0.78)","0.80 (0.80, 0.81)","0.79 (0.78, 0.80)","0.81 (0.81, 0.82)","0.80 (0.78, 0.82)","0.77 (0.76, 0.77)","0.81 (0.81, 0.81)","0.81 (0.80, 0.82)","0.79 (0.77, 0.80)","0.79 (0.77, 0.81)"
