Metric,boot_values,ci_percent,mean_value,lower_ci,upper_ci,lower_ci_percentile,upper_ci_percentile
Aggregate/MCC/MCC,[0.03927215 0.09986317 0.07551439 ... 0.03397243 0.01886774 0.02826362],0.95,0.048372269997187065,-0.014329414003640966,0.11184567528746116,0.025000000000000022,0.975
Aggregate/Accuracy/Accuracy,[0.519 0.55  0.539 ... 0.518 0.51  0.515],0.95,0.5242823999999999,0.493,0.556,0.025000000000000022,0.975
Aggregate/F1/Micro,[0.519 0.55  0.539 ... 0.518 0.51  0.515],0.95,0.5242823999999999,0.493,0.556,0.025000000000000022,0.975
Classwise/F1/False,[0.51948052 0.51851852],0.95,0.5189995189995189,0.5185425685425684,0.5194564694564695,0.025000000000000022,0.975
Classwise/F1/True,[0.55621302 0.54361055],0.95,0.549911782709411,0.5439256094194461,0.5558979559993759,0.025000000000000022,0.975
