Metric,boot_values,ci_percent,mean_value,lower_ci,upper_ci,lower_ci_percentile,upper_ci_percentile
Aggregate/MAE/MAE,[32.9556 35.0447 36.0594 ... 36.9278 35.6482 34.4005],0.95,36.11858248,34.0194425,38.2815175,0.025000000000000022,0.975
Aggregate/MAE/MaxError,[260.85 260.85 232.85 ... 260.85 260.85 225.85],0.95,249.16119999999995,220.85,260.85,0.025000000000000022,0.975
