,Baseline,0-Shot | Notes,0-Shot | Summary,5-Shot | Summary,10-Shot | Summary,20-Shot | Summary,50-Shot | Summary,0-Shot CoT | Notes,0-Shot CoT | Summary,5-Shot CoT | Summary,10-Shot CoT | Summary,20-Shot CoT | Summary,50-Shot CoT | Summary
Aggregate/MAE/MAE,"5.42 (5.04, 5.85)","4.80 (4.40, 5.26)","4.72 (4.31, 5.17)","6.87 (6.39, 7.39)","7.81 (7.30, 8.35)","7.70 (7.16, 8.24)","7.87 (7.35, 8.42)","4.70 (4.31, 5.17)","4.55 (4.18, 4.98)","8.10 (7.57, 8.67)","8.11 (7.56, 8.69)","8.71 (8.15, 9.30)","7.51 (7.01, 8.02)"
Aggregate/MAE/MaxError,"84.04 (45.84, 93.84)","86.21 (44.00, 97.00)","89.18 (44.00, 101.00)","85.27 (44.00, 95.00)","80.08 (46.00, 87.00)","80.53 (47.00, 87.00)","83.27 (52.00, 90.00)","90.24 (51.00, 101.00)","89.00 (44.00, 101.00)","78.10 (48.00, 83.00)","81.26 (50.00, 88.00)","86.67 (40.00, 97.00)","77.48 (44.00, 83.00)"
