Metric,boot_values,ci_percent,mean_value,lower_ci,upper_ci,lower_ci_percentile,upper_ci_percentile
Aggregate/MAE/MAE,[5.671158 5.34867  5.484984 ... 5.256438 5.307786 5.146578],0.95,5.419682523199999,5.044046949999999,5.847396549999999,0.025000000000000022,0.975
Aggregate/MAE/MaxError,[93.843 56.843 45.843 ... 93.843 93.843 93.843],0.95,84.0362,45.843,93.843,0.025000000000000022,0.975
