,Baseline,0-Shot | Notes,0-Shot | Summary,5-Shot | Summary,10-Shot | Summary,20-Shot | Summary,50-Shot | Summary,0-Shot CoT | Notes,0-Shot CoT | Summary,5-Shot CoT | Summary,10-Shot CoT | Summary,20-Shot CoT | Summary,50-Shot CoT | Summary
Aggregate/MCC/MCC,"-0.10 (-0.16, -0.03)","0.22 (0.15, 0.28)","0.22 (0.16, 0.28)","0.11 (0.05, 0.17)","0.15 (0.09, 0.21)","0.16 (0.09, 0.22)","0.17 (0.11, 0.23)","0.16 (0.09, 0.21)","0.16 (0.10, 0.22)","0.19 (0.12, 0.25)","0.16 (0.10, 0.22)","0.17 (0.11, 0.23)","0.13 (0.07, 0.20)"
Aggregate/Accuracy/Accuracy,"0.45 (0.42, 0.48)","0.60 (0.57, 0.63)","0.61 (0.58, 0.64)","0.55 (0.52, 0.59)","0.57 (0.54, 0.60)","0.58 (0.54, 0.61)","0.58 (0.55, 0.61)","0.58 (0.55, 0.61)","0.58 (0.55, 0.61)","0.59 (0.56, 0.62)","0.58 (0.55, 0.61)","0.58 (0.55, 0.61)","0.57 (0.53, 0.60)"
Aggregate/F1/Micro,"0.45 (0.42, 0.48)","0.60 (0.57, 0.63)","0.61 (0.58, 0.64)","0.55 (0.52, 0.59)","0.57 (0.54, 0.60)","0.58 (0.54, 0.61)","0.58 (0.55, 0.61)","0.58 (0.55, 0.61)","0.58 (0.55, 0.61)","0.59 (0.56, 0.62)","0.58 (0.55, 0.61)","0.58 (0.55, 0.61)","0.57 (0.53, 0.60)"
Classwise/F1/False,"0.46 (0.45, 0.47)","0.60 (0.53, 0.67)","0.61 (0.59, 0.62)","0.56 (0.52, 0.60)","0.56 (0.53, 0.60)","0.57 (0.52, 0.62)","0.57 (0.53, 0.62)","0.59 (0.56, 0.63)","0.61 (0.61, 0.62)","0.61 (0.59, 0.62)","0.57 (0.56, 0.58)","0.60 (0.59, 0.61)","0.60 (0.57, 0.62)"
Classwise/F1/True,"0.45 (0.43, 0.46)","0.58 (0.48, 0.67)","0.60 (0.56, 0.65)","0.54 (0.48, 0.60)","0.56 (0.48, 0.64)","0.56 (0.49, 0.63)","0.58 (0.51, 0.65)","0.59 (0.57, 0.60)","0.57 (0.55, 0.59)","0.60 (0.56, 0.64)","0.58 (0.56, 0.61)","0.58 (0.56, 0.59)","0.57 (0.57, 0.57)"
