,Baseline,Baseline,Baseline,Baseline,0-Shot | Notes,0-Shot | Notes,0-Shot | Notes,0-Shot | Notes,0-Shot | Summary,0-Shot | Summary,0-Shot | Summary,0-Shot | Summary,5-Shot | Summary,5-Shot | Summary,5-Shot | Summary,5-Shot | Summary,10-Shot | Summary,10-Shot | Summary,10-Shot | Summary,10-Shot | Summary,20-Shot | Summary,20-Shot | Summary,20-Shot | Summary,20-Shot | Summary,50-Shot | Summary,50-Shot | Summary,50-Shot | Summary,50-Shot | Summary,0-Shot CoT | Notes,0-Shot CoT | Notes,0-Shot CoT | Notes,0-Shot CoT | Notes,0-Shot CoT | Summary,0-Shot CoT | Summary,0-Shot CoT | Summary,0-Shot CoT | Summary,5-Shot CoT | Summary,5-Shot CoT | Summary,5-Shot CoT | Summary,5-Shot CoT | Summary,10-Shot CoT | Summary,10-Shot CoT | Summary,10-Shot CoT | Summary,10-Shot CoT | Summary,20-Shot CoT | Summary,20-Shot CoT | Summary,20-Shot CoT | Summary,20-Shot CoT | Summary,50-Shot CoT | Summary,50-Shot CoT | Summary,50-Shot CoT | Summary,50-Shot CoT | Summary
,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short,all,long,medium,short
Aggregate/MCC/MCC,"-0.10 (-0.16, -0.03)",--,--,--,"0.22 (0.15, 0.28)","0.20 (0.09, 0.30)","0.28 (0.18, 0.38)","0.17 (0.07, 0.28)","0.22 (0.16, 0.28)","0.19 (0.08, 0.30)","0.27 (0.17, 0.37)","0.20 (0.10, 0.31)","0.11 (0.05, 0.17)","0.12 (0.01, 0.23)","0.17 (0.06, 0.28)","0.04 (-0.07, 0.15)","0.15 (0.09, 0.21)","0.16 (0.05, 0.26)","0.15 (0.05, 0.26)","0.14 (0.03, 0.25)","0.16 (0.09, 0.22)","0.17 (0.06, 0.27)","0.16 (0.05, 0.26)","0.15 (0.04, 0.26)","0.17 (0.11, 0.23)","0.15 (0.04, 0.26)","0.17 (0.07, 0.28)","0.19 (0.09, 0.29)","0.16 (0.09, 0.21)","0.11 (0.01, 0.22)","0.21 (0.10, 0.31)","0.15 (0.04, 0.25)","0.16 (0.10, 0.22)","0.18 (0.07, 0.29)","0.23 (0.12, 0.33)","0.08 (-0.03, 0.19)","0.19 (0.12, 0.25)","0.13 (0.02, 0.24)","0.21 (0.10, 0.32)","0.22 (0.11, 0.32)","0.16 (0.10, 0.22)","0.13 (0.03, 0.24)","0.20 (0.09, 0.30)","0.15 (0.04, 0.25)","0.17 (0.11, 0.23)","0.12 (0.01, 0.23)","0.23 (0.12, 0.34)","0.16 (0.05, 0.27)","0.13 (0.07, 0.20)","0.11 (-0.00, 0.23)","0.15 (0.04, 0.26)","0.13 (0.03, 0.24)"
Aggregate/Accuracy/Accuracy,"0.45 (0.42, 0.48)",--,--,--,"0.60 (0.57, 0.63)","0.59 (0.53, 0.64)","0.63 (0.58, 0.68)","0.58 (0.53, 0.64)","0.61 (0.58, 0.64)","0.59 (0.53, 0.64)","0.64 (0.59, 0.69)","0.60 (0.55, 0.66)","0.55 (0.52, 0.59)","0.56 (0.50, 0.61)","0.59 (0.53, 0.64)","0.52 (0.46, 0.57)","0.57 (0.54, 0.60)","0.57 (0.52, 0.63)","0.58 (0.53, 0.63)","0.57 (0.51, 0.63)","0.58 (0.54, 0.61)","0.58 (0.52, 0.63)","0.58 (0.53, 0.63)","0.57 (0.52, 0.63)","0.58 (0.55, 0.61)","0.57 (0.52, 0.63)","0.59 (0.53, 0.64)","0.59 (0.54, 0.64)","0.58 (0.55, 0.61)","0.56 (0.50, 0.61)","0.60 (0.55, 0.66)","0.57 (0.52, 0.63)","0.58 (0.55, 0.61)","0.59 (0.53, 0.64)","0.61 (0.56, 0.66)","0.54 (0.49, 0.59)","0.59 (0.56, 0.62)","0.56 (0.51, 0.62)","0.61 (0.55, 0.66)","0.61 (0.56, 0.66)","0.58 (0.55, 0.61)","0.57 (0.51, 0.62)","0.60 (0.55, 0.65)","0.57 (0.52, 0.63)","0.58 (0.55, 0.61)","0.56 (0.51, 0.61)","0.61 (0.56, 0.67)","0.58 (0.53, 0.63)","0.57 (0.53, 0.60)","0.55 (0.50, 0.61)","0.57 (0.52, 0.63)","0.57 (0.51, 0.62)"
Aggregate/F1/Micro,"0.45 (0.42, 0.48)",--,--,--,"0.60 (0.57, 0.63)","0.59 (0.53, 0.64)","0.63 (0.58, 0.68)","0.58 (0.53, 0.64)","0.61 (0.58, 0.64)","0.59 (0.53, 0.64)","0.64 (0.59, 0.69)","0.60 (0.55, 0.66)","0.55 (0.52, 0.59)","0.56 (0.50, 0.61)","0.59 (0.53, 0.64)","0.52 (0.46, 0.57)","0.57 (0.54, 0.60)","0.57 (0.52, 0.63)","0.58 (0.53, 0.63)","0.57 (0.51, 0.63)","0.58 (0.54, 0.61)","0.58 (0.52, 0.63)","0.58 (0.53, 0.63)","0.57 (0.52, 0.63)","0.58 (0.55, 0.61)","0.57 (0.52, 0.63)","0.59 (0.53, 0.64)","0.59 (0.54, 0.64)","0.58 (0.55, 0.61)","0.56 (0.50, 0.61)","0.60 (0.55, 0.66)","0.57 (0.52, 0.63)","0.58 (0.55, 0.61)","0.59 (0.53, 0.64)","0.61 (0.56, 0.66)","0.54 (0.49, 0.59)","0.59 (0.56, 0.62)","0.56 (0.51, 0.62)","0.61 (0.55, 0.66)","0.61 (0.56, 0.66)","0.58 (0.55, 0.61)","0.57 (0.51, 0.62)","0.60 (0.55, 0.65)","0.57 (0.52, 0.63)","0.58 (0.55, 0.61)","0.56 (0.51, 0.61)","0.61 (0.56, 0.67)","0.58 (0.53, 0.63)","0.57 (0.53, 0.60)","0.55 (0.50, 0.61)","0.57 (0.52, 0.63)","0.57 (0.51, 0.62)"
Classwise/F1/False,"0.46 (0.45, 0.47)",--,--,--,"0.60 (0.53, 0.67)","0.48 (0.33, 0.64)","0.57 (0.47, 0.68)","0.60 (0.56, 0.65)","0.61 (0.59, 0.62)","0.52 (0.41, 0.63)","0.64 (0.60, 0.67)","0.65 (0.65, 0.65)","0.56 (0.52, 0.60)","0.48 (0.37, 0.60)","0.55 (0.52, 0.59)","0.56 (0.55, 0.57)","0.56 (0.53, 0.60)","0.54 (0.45, 0.64)","0.56 (0.52, 0.61)","0.60 (0.57, 0.63)","0.57 (0.52, 0.62)","0.55 (0.46, 0.64)","0.53 (0.48, 0.59)","0.61 (0.58, 0.64)","0.57 (0.53, 0.62)","0.52 (0.43, 0.61)","0.58 (0.52, 0.65)","0.64 (0.61, 0.68)","0.59 (0.56, 0.63)","0.53 (0.50, 0.56)","0.61 (0.59, 0.62)","0.57 (0.51, 0.62)","0.61 (0.61, 0.62)","0.54 (0.49, 0.59)","0.58 (0.57, 0.59)","0.61 (0.60, 0.63)","0.61 (0.59, 0.62)","0.53 (0.45, 0.61)","0.62 (0.59, 0.64)","0.63 (0.63, 0.64)","0.57 (0.56, 0.58)","0.54 (0.48, 0.61)","0.56 (0.54, 0.59)","0.58 (0.54, 0.62)","0.60 (0.59, 0.61)","0.54 (0.47, 0.60)","0.62 (0.61, 0.63)","0.61 (0.59, 0.63)","0.60 (0.57, 0.62)","0.52 (0.47, 0.57)","0.57 (0.57, 0.57)","0.61 (0.57, 0.65)"
Classwise/F1/True,"0.45 (0.43, 0.46)",--,--,--,"0.58 (0.48, 0.67)","0.56 (0.41, 0.70)","0.59 (0.49, 0.68)","0.61 (0.55, 0.66)","0.60 (0.56, 0.65)","0.49 (0.36, 0.62)","0.61 (0.58, 0.65)","0.60 (0.60, 0.61)","0.54 (0.48, 0.60)","0.44 (0.31, 0.58)","0.59 (0.55, 0.63)","0.53 (0.50, 0.56)","0.56 (0.48, 0.64)","0.50 (0.37, 0.63)","0.57 (0.52, 0.62)","0.57 (0.53, 0.61)","0.56 (0.49, 0.63)","0.51 (0.40, 0.63)","0.55 (0.48, 0.62)","0.55 (0.52, 0.59)","0.58 (0.51, 0.65)","0.53 (0.43, 0.63)","0.58 (0.50, 0.65)","0.60 (0.56, 0.65)","0.59 (0.57, 0.60)","0.52 (0.51, 0.54)","0.63 (0.61, 0.64)","0.58 (0.54, 0.61)","0.57 (0.55, 0.59)","0.51 (0.44, 0.59)","0.59 (0.59, 0.59)","0.55 (0.54, 0.56)","0.60 (0.56, 0.64)","0.50 (0.42, 0.58)","0.57 (0.54, 0.60)","0.62 (0.61, 0.63)","0.58 (0.56, 0.61)","0.50 (0.41, 0.58)","0.57 (0.55, 0.59)","0.55 (0.53, 0.58)","0.58 (0.56, 0.59)","0.54 (0.49, 0.60)","0.60 (0.59, 0.60)","0.56 (0.55, 0.58)","0.57 (0.57, 0.57)","0.51 (0.46, 0.55)","0.55 (0.54, 0.56)","0.51 (0.47, 0.56)"
