Metric,boot_values,ci_percent,mean_value,lower_ci,upper_ci,lower_ci_percentile,upper_ci_percentile
Aggregate/MCC/MCC,[0.08803227 0.0629719  0.07331417 ... 0.02175041 0.0549719  0.042803  ],0.95,0.04969989629087992,-0.012567602252511708,0.11194820316771514,0.025000000000000022,0.975
Aggregate/Accuracy/Accuracy,[0.538 0.533 0.531 ... 0.507 0.525 0.515],0.95,0.5222532,0.491,0.553,0.025000000000000022,0.975
Aggregate/F1/Micro,[0.538 0.533 0.531 ... 0.507 0.525 0.515],0.95,0.5222532,0.491,0.553,0.025000000000000022,0.975
Classwise/F1/False,[0.58527828 0.4785553 ],0.95,0.5319167906107776,0.48122337903392487,0.5826102021876304,0.025000000000000022,0.975
Classwise/F1/True,[0.5907099  0.45634459],0.95,0.5235272451610468,0.459703719650369,0.5873507706717246,0.025000000000000022,0.975
