,Baseline,0-Shot | Notes,0-Shot | Summary,5-Shot | Summary,10-Shot | Summary,20-Shot | Summary,50-Shot | Summary,0-Shot CoT | Notes,0-Shot CoT | Summary,5-Shot CoT | Summary,10-Shot CoT | Summary,20-Shot CoT | Summary,50-Shot CoT | Summary
Aggregate/MCC/MCC,"0.05 (-0.01, 0.11)","0.28 (0.22, 0.33)","0.27 (0.21, 0.33)","0.25 (0.20, 0.31)","0.28 (0.23, 0.34)","0.33 (0.27, 0.38)","0.29 (0.23, 0.34)","0.30 (0.24, 0.36)","0.33 (0.27, 0.38)","0.31 (0.26, 0.36)","0.34 (0.29, 0.39)","0.35 (0.30, 0.40)","0.35 (0.30, 0.40)"
Aggregate/Accuracy/Accuracy,"0.52 (0.49, 0.55)","0.58 (0.55, 0.61)","0.62 (0.58, 0.65)","0.56 (0.53, 0.59)","0.59 (0.56, 0.62)","0.62 (0.59, 0.65)","0.61 (0.58, 0.64)","0.62 (0.59, 0.65)","0.63 (0.59, 0.66)","0.60 (0.57, 0.63)","0.62 (0.59, 0.65)","0.63 (0.60, 0.66)","0.64 (0.61, 0.67)"
Aggregate/F1/Micro,"0.52 (0.49, 0.55)","0.58 (0.55, 0.61)","0.62 (0.58, 0.65)","0.56 (0.53, 0.59)","0.59 (0.56, 0.62)","0.62 (0.59, 0.65)","0.61 (0.58, 0.64)","0.62 (0.59, 0.65)","0.63 (0.59, 0.66)","0.60 (0.57, 0.63)","0.62 (0.59, 0.65)","0.63 (0.60, 0.66)","0.64 (0.61, 0.67)"
Classwise/F1/False,"0.53 (0.48, 0.58)","0.55 (0.51, 0.59)","0.60 (0.58, 0.62)","0.54 (0.50, 0.58)","0.57 (0.55, 0.59)","0.60 (0.60, 0.60)","0.61 (0.60, 0.61)","0.60 (0.59, 0.61)","0.62 (0.62, 0.62)","0.59 (0.57, 0.61)","0.60 (0.60, 0.61)","0.62 (0.61, 0.62)","0.63 (0.62, 0.63)"
Classwise/F1/True,"0.52 (0.46, 0.59)","0.54 (0.50, 0.58)","0.59 (0.57, 0.61)","0.52 (0.48, 0.57)","0.56 (0.53, 0.59)","0.59 (0.57, 0.61)","0.59 (0.58, 0.60)","0.60 (0.60, 0.61)","0.59 (0.59, 0.60)","0.55 (0.51, 0.59)","0.59 (0.56, 0.61)","0.61 (0.59, 0.62)","0.60 (0.60, 0.61)"
